egid,gkat,gklas,status,street,zip,city,description,building_type,coordinate_lat,coordinate_lon,area,volume,url
199760,1020,1110,Existing,Lindauring 7,6023,Rothenburg,,RESIDENTIAL,2662893.009,1216698.602,112,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199760_0&time=None&lang=de&topic=ech
190853569,1020,1122,Existing,Hübelistrasse 8b,6020,Emmen,,RESIDENTIAL,2663436.643,1215293.021,441,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190853569_0&time=None&lang=de&topic=ech
3035724,1020,1110,Existing,Nellenweg 3,6206,Neuenkirch,,RESIDENTIAL,2658218.232,1216507.338,87,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=3035724_0&time=None&lang=de&topic=ech
223362,1020,1110,Existing,Haldenweid 2,6206,Neuenkirch,,RESIDENTIAL,2657924.94,1216616.889,88,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223362_0&time=None&lang=de&topic=ech
223531,1020,1121,Existing,Stägmättli 7,6206,Neuenkirch,,RESIDENTIAL,2658147.844,1216545.862,177,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223531_0&time=None&lang=de&topic=ech
190164533,1020,1110,Existing,Oberhus 14,6023,Rothenburg,,RESIDENTIAL,2663212.125,1216680.835,172,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190164533_0&time=None&lang=de&topic=ech
199952,1020,1122,Existing,Pilatusring 21,6023,Rothenburg,,RESIDENTIAL,2663422.718,1216793.708,340,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199952_0&time=None&lang=de&topic=ech
190592388,1020,1110,Existing,Fläckepark 14,6023,Rothenburg,,RESIDENTIAL,2662810.199,1216133.057,121,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190592388_0&time=None&lang=de&topic=ech
191367811,1020,1110,Existing,Eschenmatte 29,6023,Rothenburg,Einfamilienhaus,RESIDENTIAL,2662386.475,1216294.038,158,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191367811_0&time=None&lang=de&topic=ech
2055789,1020,1122,Existing,Fläckehof 14,6023,Rothenburg,,RESIDENTIAL,2662953.788,1216161.494,363,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2055789_0&time=None&lang=de&topic=ech
195150,1020,1122,Existing,Kapfweg 6,6020,Emmen,,RESIDENTIAL,2663475.71,1215935.625,111,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195150_0&time=None&lang=de&topic=ech
200064,1020,1121,Existing,Neumoosstrasse 3,6023,Rothenburg,,RESIDENTIAL,2663721.352,1216878.787,127,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=200064_0&time=None&lang=de&topic=ech
223870,1020,1121,Existing,Rippertschwand 20,6206,Neuenkirch,,RESIDENTIAL,2659342.214,1216992.942,133,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223870_0&time=None&lang=de&topic=ech
2067449,1020,1110,Existing,Stägmättli 8,6206,Neuenkirch,,RESIDENTIAL,2658171.714,1216590.656,74,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2067449_0&time=None&lang=de&topic=ech
191703138,1060,1271,Existing,Neurüti 5.1,6016,Neuenkirch,Scheune,AGRICULTURAL,2657007.606,1215182.957,749,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191703138_0&time=None&lang=de&topic=ech
400002286,1060,,Existing,Buzibachstrasse 42a,6023,Rothenburg,,NON_RESIDENTIAL,2661864.159,1215778.116,200,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=400002286_0&time=None&lang=de&topic=ech
2055749,1020,1110,Existing,Eschenmatte 9,6023,Rothenburg,,RESIDENTIAL,2662258.482,1216195.789,78,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2055749_0&time=None&lang=de&topic=ech
191552357,1060,1252,Existing,Oberbürlimoos 1.1,6023,Rothenburg,Hofladen/Kürbislager,NON_RESIDENTIAL,2661004.798,1217882.403,253,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191552357_0&time=None&lang=de&topic=ech
190204809,1020,1110,Existing,Eggstrasse 1b,6206,Neuenkirch,,RESIDENTIAL,2657499.846,1216840.223,99,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190204809_0&time=None&lang=de&topic=ech
502292785,1060,1274,Existing,Röllbach 1.1,6206,Neuenkirch,Trafostation,NON_RESIDENTIAL,2655943.665,1217134.589,4,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292785_0&time=None&lang=de&topic=ech
3035757,1020,1122,Existing,Schulhausstrasse 12,6206,Neuenkirch,,RESIDENTIAL,2657871.657,1217026.578,356,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=3035757_0&time=None&lang=de&topic=ech
200372,1020,1122,Existing,Speckbaum 2,6023,Rothenburg,,RESIDENTIAL,2662443.605,1217525.284,233,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=200372_0&time=None&lang=de&topic=ech
190209830,1020,1110,Existing,Willistattstrasse 1b,6206,Neuenkirch,,RESIDENTIAL,2657829.523,1216727.313,90,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190209830_0&time=None&lang=de&topic=ech
223350,1020,1122,Existing,Alpenstrasse 5,6206,Neuenkirch,,RESIDENTIAL,2657874.769,1216487.889,325,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223350_0&time=None&lang=de&topic=ech
200395,1030,1122,Existing,Grossmatt ,6023,Rothenburg,,RESIDENTIAL,2662105.949,1216315.694,222,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=200395_0&time=None&lang=de&topic=ech
191884905,1060,1252,Existing,Schlag 2.2,6023,Rothenburg,Remise,NON_RESIDENTIAL,2660731.483,1215642.585,335,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191884905_0&time=None&lang=de&topic=ech
502292792,1060,1276,Existing,Rippertschwandstrasse 14.1,6206,Neuenkirch,Scheune,AGRICULTURAL,2659595.22,1216539.174,308,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292792_0&time=None&lang=de&topic=ech
199852,1020,1110,Existing,Höchweid 16,6023,Rothenburg,,RESIDENTIAL,2662861.435,1217325.657,132,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199852_0&time=None&lang=de&topic=ech
191578960,1060,1274,Existing,Eichenring 12.1,6023,Rothenburg,Kleintierstall,NON_RESIDENTIAL,2662390.893,1216367.099,4,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191578960_0&time=None&lang=de&topic=ech
502293123,1060,1242,Existing,Bergstrasse 6.1,6206,Neuenkirch,Garage,NON_RESIDENTIAL,2657939.752,1216801.302,22,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502293123_0&time=None&lang=de&topic=ech
2055835,1020,1121,Existing,Wurmistrasse 1,6023,Rothenburg,,RESIDENTIAL,2662064.313,1217790.156,176,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2055835_0&time=None&lang=de&topic=ech
195936,1020,1110,Existing,Lohrenhöhe 25,6020,Emmen,,RESIDENTIAL,2661181.867,1215098.08,80,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195936_0&time=None&lang=de&topic=ech
90001411,1030,1110,Existing,Ausserhomel 3,6206,Neuenkirch,,RESIDENTIAL,2656155.981,1216204.165,236,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=90001411_0&time=None&lang=de&topic=ech
190755749,1040,1251,Existing,Buzibachstrasse 27,6023,Rothenburg,Gewerbe/- Wohngebäude,RESIDENTIAL,2662335.878,1216060.277,358,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190755749_0&time=None&lang=de&topic=ech
200337,1040,1251,Existing,Buzibachstrasse 45,6023,Rothenburg,,RESIDENTIAL,2661953.309,1215758.888,1218,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=200337_0&time=None&lang=de&topic=ech
191718519,1020,1122,Existing,Haldenrain 5,6206,Neuenkirch,,RESIDENTIAL,2657917.115,1216696.778,370,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191718519_0&time=None&lang=de&topic=ech
190018089,1020,1110,Existing,Pfrundmatte 11,6023,Rothenburg,,RESIDENTIAL,2663530.751,1216559.297,83,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190018089_0&time=None&lang=de&topic=ech
223711,1030,1122,Existing,Lohn 2,6206,Neuenkirch,,RESIDENTIAL,2658725.128,1215691.863,360,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223711_0&time=None&lang=de&topic=ech
502292956,1060,1242,Existing,Krauerhusstrasse 28.1,6206,Neuenkirch,Garage-Anteil,NON_RESIDENTIAL,2657564.425,1217281.433,17,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292956_0&time=None&lang=de&topic=ech
200390,1020,1122,Existing,Holzhüsern 1,6023,Rothenburg,,RESIDENTIAL,2662657.459,1217670.575,482,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=200390_0&time=None&lang=de&topic=ech
223834,1020,1110,Existing,Neuhus 2,6206,Neuenkirch,,RESIDENTIAL,2658841.577,1217170.578,107,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223834_0&time=None&lang=de&topic=ech
195132,1020,1121,Existing,Kapfrain 13,6020,Emmen,,RESIDENTIAL,2663603.751,1215796.325,127,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195132_0&time=None&lang=de&topic=ech
199736,1020,1122,Existing,Flecken 25,6023,Rothenburg,,RESIDENTIAL,2663239.022,1216243.148,164,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199736_0&time=None&lang=de&topic=ech
3082704,1020,1110,Existing,Huobenfangstrasse 20b,6023,Rothenburg,,RESIDENTIAL,2662740.384,1216296.217,77,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=3082704_0&time=None&lang=de&topic=ech
502292940,1060,1278,Existing,Lippenrüti 18.2,6206,Neuenkirch,Remise,AGRICULTURAL,2657256.152,1217553.003,83,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292940_0&time=None&lang=de&topic=ech
502292897,1060,1242,Existing,Maiengrüenipark 2.1,6206,Neuenkirch,Auto-Unterstand mit Geräteraum,NON_RESIDENTIAL,2658011.197,1217142.984,8,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292897_0&time=None&lang=de&topic=ech
199619,1020,1110,Existing,Hermolingenhalde 5,6023,Rothenburg,,RESIDENTIAL,2662705.248,1216399.004,161,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199619_0&time=None&lang=de&topic=ech
195050,1020,1110,Existing,Im Hubel 7,6020,Emmen,,RESIDENTIAL,2663512.77,1215462.512,144,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195050_0&time=None&lang=de&topic=ech
2055703,1020,1110,Existing,Fläckehof 60,6023,Rothenburg,,RESIDENTIAL,2662820.08,1216044.431,68,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2055703_0&time=None&lang=de&topic=ech
191800190,1020,1110,Existing,Bertiswilhöhe 23b,6023,Rothenburg,Wohnhaus,RESIDENTIAL,2662671.631,1217152.764,110,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191800190_0&time=None&lang=de&topic=ech
191703322,1060,1242,Existing,Willistattstrasse 7.1,6206,Neuenkirch,Garage,NON_RESIDENTIAL,2657756.552,1216749.437,38,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191703322_0&time=None&lang=de&topic=ech
191645936,1020,1110,Existing,Weiherstrasse 14c,6020,Emmen,Abbruch/Neubau 2 DEFH,RESIDENTIAL,2662704.039,1215104.282,111,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191645936_0&time=None&lang=de&topic=ech
195085,1020,1110,Existing,Kapfweid 12,6020,Emmen,,RESIDENTIAL,2663569.696,1215627.051,146,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195085_0&time=None&lang=de&topic=ech
2050776,1020,1122,Existing,Benziwilstrasse 10,6020,Emmen,,RESIDENTIAL,2663708.091,1215526.494,416,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2050776_0&time=None&lang=de&topic=ech
195020,1020,1122,Existing,Rothenburgstrasse 43,6020,Emmen,,RESIDENTIAL,2663300.654,1215428.593,111,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195020_0&time=None&lang=de&topic=ech
195061,1020,1110,Existing,Kapfstrasse 43,6020,Emmen,,RESIDENTIAL,2663668.607,1215787.111,94,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195061_0&time=None&lang=de&topic=ech
223428,1020,1122,Existing,Willistattstrasse 6,6206,Neuenkirch,,RESIDENTIAL,2657698.978,1216813.463,321,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223428_0&time=None&lang=de&topic=ech
191817120,1060,1271,Existing,Kuchischür 3.7,6206,Neuenkirch,Gartenhaus,AGRICULTURAL,2657788.222,1217760.766,15,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191817120_0&time=None&lang=de&topic=ech
199979,1020,1110,Existing,Pilatusring 4,6023,Rothenburg,,RESIDENTIAL,2663351.439,1216684.455,136,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199979_0&time=None&lang=de&topic=ech
2055821,1020,1110,Existing,Lindauhalde 24,6023,Rothenburg,,RESIDENTIAL,2662899.424,1217168.298,93,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2055821_0&time=None&lang=de&topic=ech
191969936,1060,1252,Project,Stationsstrasse 89.1,6023,Rothenburg,Entsorgungs- und Hauswartgebäude,NON_RESIDENTIAL,2661803.0,1215838.0,100,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191969936_0&time=None&lang=de&topic=ech
191882291,1060,1271,Existing,Althüsli 1.3,6206,Neuenkirch,Wagenschuppen,AGRICULTURAL,2656189.281,1216570.811,108,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191882291_0&time=None&lang=de&topic=ech
502292953,1060,1242,Existing,Krauerhusstrasse 4.2,6206,Neuenkirch,Garagen,NON_RESIDENTIAL,2657786.25,1217223.017,73,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292953_0&time=None&lang=de&topic=ech
502292993,1060,1278,Existing,Hübeli 1.2,6206,Neuenkirch,,AGRICULTURAL,2656852.999,1215571.642,12,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292993_0&time=None&lang=de&topic=ech
160009927,1020,1110,Existing,Oberhus 39,6023,Rothenburg,,RESIDENTIAL,2663234.914,1216628.235,131,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=160009927_0&time=None&lang=de&topic=ech
191579032,1060,1242,Existing,Buzibachstrasse 41.1,6023,Rothenburg,Garagen mit Unterstand,NON_RESIDENTIAL,2662041.971,1215782.611,53,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191579032_0&time=None&lang=de&topic=ech
191926907,1060,1271,Existing,Lohn 2.3,6206,Neuenkirch,Maschinenhalle,AGRICULTURAL,2658711.922,1215772.938,261,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191926907_0&time=None&lang=de&topic=ech
223693,1030,1122,Existing,Schürlimatt 8,6206,Neuenkirch,,RESIDENTIAL,2659521.817,1216414.486,483,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223693_0&time=None&lang=de&topic=ech
199945,1020,1110,Existing,Feldheim 14a,6023,Rothenburg,,RESIDENTIAL,2663222.636,1216758.846,89,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199945_0&time=None&lang=de&topic=ech
191171335,1020,1122,Existing,Feldheim 31,6023,Rothenburg,Mehrfamilienhaus Feldheim 31,RESIDENTIAL,2663270.622,1216845.718,349,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191171335_0&time=None&lang=de&topic=ech
199710,1020,1122,Existing,Franz-Zelgerstrasse 18,6023,Rothenburg,,RESIDENTIAL,2663083.807,1216344.57,143,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199710_0&time=None&lang=de&topic=ech
200097,1020,1122,Existing,Schützenweidstrasse 18,6023,Rothenburg,,RESIDENTIAL,2663732.617,1216359.712,239,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=200097_0&time=None&lang=de&topic=ech
502292765,1060,1274,Existing,Schulhausstrasse 7.1,6206,Neuenkirch,Velounterstand,NON_RESIDENTIAL,2657827.494,1217001.626,51,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292765_0&time=None&lang=de&topic=ech
190757110,1020,1110,Existing,Lügisingen 3,6023,Rothenburg,Speicher,RESIDENTIAL,2661857.124,1216824.023,62,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190757110_0&time=None&lang=de&topic=ech
190853552,1020,1122,Existing,Hübelistrasse 10,6020,Emmen,,RESIDENTIAL,2663478.795,1215378.963,480,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190853552_0&time=None&lang=de&topic=ech
2055463,1060,,Existing,Schulhausstrasse 6b,6023,Rothenburg,,NON_RESIDENTIAL,2662844.952,1216439.475,593,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2055463_0&time=None&lang=de&topic=ech
223448,1020,1110,Existing,Eggstrasse 8,6206,Neuenkirch,,RESIDENTIAL,2657481.225,1216945.051,151,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223448_0&time=None&lang=de&topic=ech
2055794,1020,1122,Existing,Fläckehof 12,6023,Rothenburg,,RESIDENTIAL,2663109.661,1216075.413,351,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2055794_0&time=None&lang=de&topic=ech
3082757,1020,1110,Existing,Felsenegg 92,6023,Rothenburg,,RESIDENTIAL,2663549.646,1216741.612,56,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=3082757_0&time=None&lang=de&topic=ech
